Incident Date,Incident Exact Time,Incident Time,Incident Year,Incident Day of Week,Incident Category,nhood,Latitude,Longitude,point,,,incident time number
08/01/2018,5:59:00 AM,6,2018,Monday,Burglary,West of Twin Peaks,37.73209,-122.43546,"(37.73209348298622, -122.43545768873553)",,,0.25
07/01/2018,5:30:00 PM,18,2018,Sunday,Burglary,Castro/Upper Market,37.76442,-122.43012,"(37.76441973892802, -122.43011794928371)",,,0.73
06/01/2018,4:24:00 AM,4,2018,Saturday,Burglary,Mission Bay,37.77594,-122.39797,"(37.7759412206594, -122.39796947621387)",,,0.18
06/01/2018,12:00:00 PM,12,2018,Saturday,Burglary,Sunset/Parkside,37.76109,-122.49092,"(37.761086889999575, -122.49092291061224)",,,0.50
08/01/2018,10:05:00 AM,10,2018,Monday,Assault,Excelsior,37.71604,-122.44026,"(37.716038818883085, -122.44025513581519)",,,0.42
08/01/2018,9:00:00 AM,9,2018,Monday,Burglary,Bayview Hunters Point,37.74238,-122.38385,"(37.74237875090492, -122.38385037661996)",,,0.38
05/01/2018,6:00:00 PM,18,2018,Friday,Burglary,Financial District/South Beach,37.78926,-122.40138,"(37.789264321511176, -122.4013754923669)",,,0.75
08/01/2018,12:30:00 PM,13,2018,Monday,Assault,West of Twin Peaks,37.74089,-122.46583,"(37.740891974182375, -122.46582902531254)",,,0.52
08/01/2018,7:30:00 AM,8,2018,Monday,Burglary,Bayview Hunters Point,37.72974,-122.38343,"(37.72973755204471, -122.38343118497463)",,,0.31
06/01/2018,3:30:00 PM,16,2018,Saturday,Burglary,Potrero Hill,37.75075,-122.40022,"(37.75075304582284, -122.40021735720298)",,,0.65
08/01/2018,12:15:00 PM,12,2018,Monday,Burglary,Mission Bay,37.77283,-122.39137,"(37.77283099431839, -122.39137353346597)",,,0.51
08/01/2018,10:54:00 AM,11,2018,Monday,Assault,Mission,37.76505,-122.41967,"(37.76505133632968, -122.41966897380142)",,,0.45
07/01/2018,3:00:00 PM,15,2018,Sunday,Burglary,Hayes Valley,37.77693,-122.42636,"(37.77693018292675, -122.42635903569699)",,,0.63
08/01/2018,10:00:00 AM,10,2018,Monday,Burglary,Mission,37.75765,-122.40865,"(37.75765111608875, -122.40865127398199)",,,0.42
08/01/2018,3:00:00 PM,15,2018,Monday,Assault,South of Market,37.77762,-122.41187,"(37.77761914280685, -122.41187022703075)",,,0.63
08/01/2018,9:30:00 AM,10,2018,Monday,Burglary,Pacific Heights,37.78984,-122.43403,"(37.78983697125977, -122.43402709034117)",,,0.40
08/01/2018,5:45:00 PM,18,2018,Monday,Assault,Outer Richmond,37.78231,-122.47844,"(37.78230837845865, -122.47844350762617)",,,0.74
08/01/2018,5:43:00 PM,18,2018,Monday,Burglary,South of Market,37.7777,-122.39574,"(37.77769841953334, -122.39574395575234)",,,0.74
08/01/2018,5:00:00 PM,17,2018,Monday,Robbery,Excelsior,37.71646,-122.44102,"(37.716459544514585, -122.44101956350755)",,,0.71
08/01/2018,8:15:00 PM,20,2018,Monday,Assault,North Beach,37.80045,-122.40919,"(37.80044505976436, -122.40918981932037)",,,0.84
08/01/2018,6:00:00 PM,18,2018,Monday,Robbery,Mission,37.76505,-122.41967,"(37.76505133632968, -122.41966897380142)",,,0.75
